ID,名稱,地址,電話,Visa 144,獎項,排序
147,三通國際旅運有限公司,澳門新口岸宋玉生廣場578號中富大廈地下P舖,+853 2843 7426,No,星級旅遊服務商戶獎,40
19,大光世界旅遊有限公司,澳門宋玉生廣場258號建興龍廣場19樓P座,+853 2859 1122,No,星級旅遊服務商戶獎,40
128,中亞國際旅遊有限公司,澳門宋玉生廣場181-187號光輝商業中心14樓H,"+853 2826 6991, +853 2826 6992, +853 2826 5292",No,星級旅遊服務商戶獎,40
146,中信國際旅遊有限公司,澳門宋玉生廣場258號建興龍廣場19樓S及T座,+853 2842 0870,No,星級旅遊服務商戶獎,40
113,天馬旅行社有限公司,"澳門友誼大馬路201號、賈羅布大馬路60號及佛山街31,51號新建業商業中心8樓O及P",+853 2843 6311,No,星級旅遊服務商戶獎,40
11597,世紀國際旅行社,澳門北京街202A-246號澳門金融中心12樓F座,+853 2870 2335,No,星級旅遊服務商戶獎,40
99,永傑旅遊有限公司,澳門宋玉生廣場249、255及263號中土大廈11樓D,+853 2843 9225,No,星級旅遊服務商戶獎,40
29,立基旅遊發展有限公司,澳門新口岸宋玉生廣場180號東南亞商業中心19樓J座,+853 2875 1033,No,星級旅遊服務商戶獎,40
109,好美旅行社有限公司,澳門友誼大馬路1023號南方大廈三樓N座,+853 2872 7546,No,星級旅遊服務商戶獎,40
12579,好運旅行社有限公司,澳門宋玉生廣場181及187號光輝(集團)商業中心17樓V,+853 2871 7233,No,星級旅遊服務商戶獎,40
158,行家假期-長暉國際旅遊有限公司,"澳門宋玉生廣場249, 255及263號中土大廈15樓L",+853 2826 2888,No,星級旅遊服務商戶獎,40
72,東方國際旅遊,澳門北京街230、244及246號澳門金融中心8樓L室,+853 2878 8006,No,星級旅遊服務商戶獎,40
179,東瀛遊,澳門南灣大馬路730-804號中華廣場10樓M座,+853 2871 7200,No,星級旅遊服務商戶獎,40
179,東瀛遊,"澳門南灣大馬路730-804號中華廣場地下""B""舖",+853 2871 7200,No,星級旅遊服務商戶獎,40
10729,金光旅遊,路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，澳門威尼斯人酒店大運河購物中心2442c號舖,+853 8118 2933,No,星級旅遊服務金獎 - 境內服務 ; 星級旅遊服務商戶獎,40
11355,金時代旅遊有限公司,澳門宋玉生廣場335及341號獲多利中心15樓S,+853 2872 2866,No,星級旅遊服務商戶獎,40
12531,長江旅行社,澳門宋玉生廣場249、255及263號中土大廈11樓F,+853 2855 5040,No,星級旅遊服務商戶獎,40
11947,長興國際旅行社有限公司,澳門新口岸北京街230-246號澳門金融中心10樓F,+853 2870 3138,No,星級旅遊服務商戶獎,40
14,南華旅遊有限公司,澳門友誼大馬路1047號南方大廈5樓O,+853 2870 6620,No,星級旅遊服務商戶獎,40
10660,威華旅遊有限公司,澳門關閘廣場新寶花園292號地下X號,+853 2842 3939,No,星級旅遊服務商戶獎,40
10857,星王國際旅遊有限公司,澳門巴波沙大馬路新城市商業中心Z、BI、BJ及BK舖,+853 2856 3003,No,星級旅遊服務商戶獎,40
162,星星旅行社有限公司,澳門福華巷18-B號名福樓地下B座,+853 6565 7339,No,星級旅遊服務商戶獎,40
180,活力旅行社有限公司,澳門外港客運碼頭2545鋪,+853 6387 6388,No,星級旅遊服務商戶獎,40
11588,盈莉旅行社有限公司,澳門北京街174號廣發商業中心5樓C,+853 2870 5196,No,星級旅遊服務商戶獎,40
173,飛揚國際旅遊有限公司,澳門北京街170至192號C廣發商業中心十三樓E座,"+853 2870 0196, +853 2870 0197",No,星級旅遊服務商戶獎,40
4,殷理基集團有限公司,澳門宋玉生廣場258號建興龍廣場21樓 R 座,+853 2857 2418,No,星級旅遊服務金獎 - 境外服務 ; 星級旅遊服務商戶獎,40
12470,浚暉旅行社有限公司,澳門宋玉生廣場249; 255; 263號中土大廈15樓K座,+853 2875 1519,No,星級旅遊服務商戶獎,40
10663,國際時訊旅遊有限公司,澳門巴波沙大馬路新城市商業中心Y及BH舖,+853 2850 9062,No,星級旅遊服務商戶獎,40
12563,探索號文化旅遊,澳門友誼大馬路1023號南方大廈3樓R3室,+853 2856 5028,No,星級旅遊服務商戶獎,40
12182,智盛旅遊有限公司,澳門北京街174號廣發商業中心8樓E座,+853 2889 9901,No,星級旅遊服務商戶獎,40
12102,華盛國際旅遊有限公司,澳門北京街174號廣發商業中心6樓G座,+853 2870 2757,No,星級旅遊服務商戶獎,40
12013,華澳國際旅遊有限公司,澳門北京街230-246號金融中心10樓L座,+853 2855 5211,No,星級旅遊服務商戶獎,40
12714,開心假期旅遊有限公司,澳門沙梨頭南街19號華寶商業中心8A,+853 2872 1089,No,星級旅遊服務商戶獎,40
11949,雄獅旅行社有限公司,澳門高士德大馬路90-A號寶安大廈地下A座及閣樓,+853 2855 5393,No,星級旅遊服務商戶獎,40
40,雅德旅遊有限公司,"澳門東望洋街3-A號""A""地下及閣樓",+853 2831 3928,No,星級旅遊服務商戶獎,40
12411,順安國際旅行社有限公司,澳門馬場北大馬路293號華景園第二座地下L座,+853 2822 2233,No,星級旅遊服務商戶獎,40
8,新新麗華旅行社有限公司,"澳門約翰四世大馬路4-4A號中華廣場地下 ""S"" 及 ""T""",+853 2871 5432,No,星級旅遊服務商戶獎,40
118,萬國旅遊集團有限公司,澳門友誼大馬路1023號南方大廈4樓I座,+853 2851 5333,No,星級旅遊服務商戶獎,40
14042,漢程旅行社有限公司,澳門北京街174號廣發商業中心13樓C座,+853 2821 5560,No,星級旅遊服務商戶獎,40
10688,銀河之旅有限公司,路氹城蓮花海濱大馬路東面及望德聖母灣大馬路南面 “銀河” 酒店地面層,+853 8883 3622,No,星級旅遊服務商戶獎,40
111,學聯旅遊 (澳門),"澳門板樟堂街16號I顯利商業大廈3樓""41""室至""42""室",+853 2831 1100,No,星級旅遊服務金獎 - 境外服務 ; 星級旅遊服務商戶獎,40
9,澳門中國旅行社股份有限公司,澳門羅理基博士大馬路223-225號南光大廈12樓,+853 2870 0888,No,星級旅遊服務商戶獎,40
