ID,名稱(中),名稱(英),類別,菜系,地區,地址,電話,傳真,網站,營業時間
"10928","鳴詩","BELCANÇÃO","餐廳（酒店內）","國際","路氹填海區","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，第一地段第6區裙樓澳門四季酒店L1層","+853 2881 8828","+853 2881 8899","http://www.fourseasons.com/zh/macau/dining/restaurants/belcanc_ao/","07:00-11:00
12:00-14:30
18:00-22:00"
"10938","海富鮨味亭日本料理","SUSHI MI TEI JAPANESES RESTAURANT","餐廳（酒店外）","日本","澳門","澳門鮑思高圓形地69至85號海富花園地下B及C舖","+853 2877 3333","","http://www.sushimitei.com","12:00-15:00; 18:00-23:00"
"10941","撲滿","SPLASH","餐廳（酒店內）","國際","路氹填海區","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，第一地段第5區澳門四季酒店L01層外圍","+853 8112 8340","+853 2881 8899","http://www.fourseasons.com/macau/dining/restaurants/splash/","11:00-19:00"
"10953","木偶葡國餐廳","COZINHA PINÓCCHIO","餐廳（酒店外）","葡萄牙","氹仔","氹仔日頭街13 - 29號及消防局前地34 -56號邊那總監大廈地面層、地庫、閣仔、一樓及二樓","+853 2882 7128","+853 2882 7828","","11:45-23:00"
"11092","協成海鮮火鍋（新濠天地店）","HIP SENG SEAFOOD HOT POT RESTAURANT(CITY OF DREAMS)","餐廳（酒店內）","中國","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），迎尚酒店2樓（L02）","+853 2878 1606","+853 2878 1630","http://www.jinyuexuan.com/page14","11:30-15:00;17:00-23:00"
"11125","玖","MEZZA 9 MACAU","餐廳（酒店內）","國際","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），澳門君悅酒店4樓（L03層）","+853 8868 1920","+853 8867 1988","http://www.macau.grand.hyatt.com/en/hotel/dining/mezza9macau.html","18:00-23:00"
"11132","滿堂彩","BEIJING KITCHEN","餐廳（酒店內）","中國","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），澳門君悅酒店地面層(L01層)","+853 8868 1930","+853 8867 1988","http://www.macau.grand.hyatt.com/en/hotel/dining/beijingkitchen.html","11:30-14:30
17:30-23:30"
"11190","咖啡廳","COFFEE SHOP","餐廳（酒店內）","美國","澳門","澳門城市日大馬路278號，澳門凱旋門酒店4樓","+853 8860 6141","+853 2822 3366","http://www.larcmacau.com","07:00-23:00"
"11192","凱旋軒","L'ARC CHINESE RESTAURANT","餐廳（酒店內）","澳門 ／ 葡萄牙","澳門","澳門城市日大馬路278號，“澳門凱旋門酒店”4樓","+853 8860 6128","+853 2822 3366","http://www.larcmacau.com","星期一至五: 11:00-15:00 & 18:00-23:00
星期六至日: 10:00-15:00 & 18:00-23:00"
"11272","江戶日本料理","EDO JAPANESE RESTAURANT","餐廳（酒店內）","日本","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），頤居酒店地面層（L01）及地庫層（L00）","+853 2838 8474","","","11:30-23:00"
